Team,Total Payroll,Year,Playoffs
Los Angeles Dodgers,"$235,412,876",2021,Y
New York Yankees,"$191,205,631",2021,
Boston Red Sox,"$180,261,996",2021,Y
Los Angeles Angels,"$177,353,000",2021,
Philadelphia Phillies,"$174,009,000",2021,
San Diego Padres,"$171,686,600",2021,
Houston Astros,"$171,018,567",2021,WSL
New York Mets,"$167,415,024",2021,
Washington Nationals,"$161,907,528",2021,
Chicago Cubs,"$149,665,500",2021,
Toronto Blue Jays,"$137,133,333",2021,
St. Louis Cardinals,"$135,047,200",2021,
Atlanta Braves,"$134,459,435",2021,WSW
San Francisco Giants,"$127,889,903",2021,Y
Chicago White Sox,"$125,987,500",2021,Y
Minnesota Twins,"$121,003,834",2021,
Cincinnati Reds,"$118,748,164",2021,
Colorado Rockies,"$103,986,666",2021,
Arizona Diamondbacks,"$89,077,233",2021,
Kansas City Royals,"$87,779,400",2021,
Milwaukee Brewers,"$87,569,366",2021,Y
Texas Rangers,"$84,868,750",2021,
Detroit Tigers,"$80,398,600",2021,
Oakland Athletics,"$74,615,000",2021,
Seattle Mariners,"$64,553,500",2021,
Tampa Bay Rays,"$60,388,600",2021,Y
Miami Marlins,"$49,425,000",2021,
Cleveland Indians,"$46,833,300",2021,
Baltimore Orioles,"$45,701,135",2021,
Pittsburgh Pirates,"$35,905,000",2021,
New York Yankees,"$110,852,878",2020,Y
Los Angeles Dodgers,"$105,747,176",2020,WSW
Boston Red Sox,"$84,478,422",2020,
Houston Astros,"$81,848,621",2020,Y
New York Mets,"$80,296,949",2020,
Chicago Cubs,"$76,166,963",2020,
Philadelphia Phillies,"$74,604,761",2020,
San Francisco Giants,"$71,170,857",2020,
St. Louis Cardinals,"$70,452,778",2020,
San Diego Padres,"$69,465,574",2020,Y
Los Angeles Angels,"$69,282,429",2020,
Washington Nationals,"$66,525,837",2020,
Atlanta Braves,"$66,275,488",2020,Y
Arizona Diamondbacks,"$64,201,669",2020,
Texas Rangers,"$63,687,408",2020,
Colorado Rockies,"$60,330,370",2020,
Cincinnati Reds,"$53,315,987",2020,
Chicago White Sox,"$51,404,630",2020,
Toronto Blue Jays,"$50,989,164",2020,
Minnesota Twins,"$48,747,770",2020,
Seattle Mariners,"$48,421,623",2020,
Detroit Tigers,"$43,069,928",2020,
