City,Year,Population
New York,2011,"8,269,639"
Los Angeles,2011,"3,823,316"
Boston,2011,"628,335"
Philadelphia,2011,"1,538,567"
San Diego,2011,"1,320,274"
Houston,2011,"2,126,196"
"Washington, DC",2011,"619,020"
Chicago,2011,"2,705,248"
Toronto,2011,"2,615,060"
St. Louis,2011,"318,563"
Atlanta,2011,"431,740"
San Francisco,2011,"814,233"
Minneapolis,2011,"388,227"
Cincinnati,2011,"296,011"
Denver,2011,"619,285"
Kansas City,2011,"461,988"
Milwaukee,2011,"597,600"
Phoenix,2011,"1,464,214"
Detroit,2011,"706,201"
Oakland,2011,"395,935"
Seattle,2011,"621,897"
Tampa Bay,2011,"346,474"
Dallas,2011,"1,217,821"
Miami,2011,"410,335"
Cleveland,2011,"392,694"
Baltimore,2011,"620,216"
Pittsburgh,2011,"306,059"
New York,2012,"8,336,697"
Los Angeles,2012,"3,857,799"
Boston,2012,"636,479"
Philadelphia,2012,"1,547,607"
San Diego,2012,"1,338,348"
Houston,2012,"2,160,821"
"Washington, DC",2012,"632,323"
Chicago,2012,"2,714,856"
Toronto,2012,"2,636,040"
St. Louis,2012,"318,172"
Atlanta,2012,"443,775"
San Francisco,2012,"825,863"
Minneapolis,2012,"392,880"
Cincinnati,2012,"296,550"
Denver,2012,"634,265"
Kansas City,2012,"464,310"
Milwaukee,2012,"598,916"
Phoenix,2012,"1,488,750"
Detroit,2012,"701,475"
Oakland,2012,"400,740"
Seattle,2012,"634,535"
Tampa Bay,2012,"347,645"
Dallas,2012,"1,241,162"
Miami,2012,"413,892"
Cleveland,2012,"390,928"
Baltimore,2012,"621,342"
Pittsburgh,2012,"306,211"
New York,2013,"8,405,837"
Los Angeles,2013,"3,884,307"
Boston,2013,"645,966"
Philadelphia,2013,"1,553,165"
San Diego,2013,"1,355,896"
Houston,2013,"2,195,914"
"Washington, DC",2013,"646,449"
Chicago,2013,"2,718,782"
Toronto,2013,"2,658,200"
St. Louis,2013,"318,416"
Atlanta,2013,"447,841"
San Francisco,2013,"837,442"
Minneapolis,2013,"400,070"
