Team,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
Arizona Diamondbacks,0.273,0.321,0.417,0.525,0.506,0.566,0.426,0.488,0.395,0.5,0.5,0.575
Atlanta Braves,0.462,0.559,0.597,0.593,0.548,0.444,0.422,0.414,0.488,0.584,0.577,0.549
Baltimore Orioles,0.273,0.321,0.417,0.333,0.29,0.463,0.546,0.5,0.586,0.525,0.571,0.426
Boston Red Sox,0.546,0.567,0.4,0.519,0.676,0.566,0.564,0.482,0.438,0.605,0.426,0.556
Chicago Cubs,0.546,0.438,0.548,0.519,0.579,0.558,0.637,0.591,0.451,0.407,0.377,0.438
Chicago White Sox,0.667,0.566,0.571,0.447,0.383,0.414,0.482,0.469,0.451,0.389,0.525,0.488
Cincinnati Reds,0.167,0.512,0.5,0.463,0.414,0.42,0.42,0.395,0.469,0.552,0.593,0.488
Cleveland Indians,0.444,0.494,0.565,0.574,0.552,0.623,0.591,0.503,0.525,0.564,0.42,0.494
Colorado Rockies,0.727,0.46,0.433,0.438,0.551,0.534,0.463,0.42,0.407,0.457,0.395,0.451
Detroit Tigers,0.4,0.475,0.397,0.292,0.395,0.395,0.534,0.46,0.546,0.567,0.543,0.578
Houston Astros,0.546,0.584,0.507,0.65,0.629,0.622,0.519,0.53,0.432,0.315,0.34,0.346
Kansas City Royals,0.444,0.457,0.433,0.364,0.358,0.494,0.5,0.593,0.565,0.531,0.444,0.438
Los Angeles Angels,0.583,0.475,0.433,0.444,0.494,0.494,0.457,0.525,0.594,0.482,0.549,0.531
Los Angeles Dodgers,0.727,0.644,0.718,0.647,0.559,0.644,0.555,0.563,0.572,0.564,0.531,0.509
Miami Marlins,0.4,0.414,0.508,0.352,0.391,0.475,0.491,0.438,0.475,0.383,0.426,0.442
Milwaukee Brewers,0.583,0.578,0.468,0.546,0.59,0.531,0.451,0.42,0.506,0.457,0.512,0.584
Minnesota Twins,0.364,0.451,0.581,0.612,0.482,0.522,0.364,0.512,0.432,0.407,0.407,0.389
New York Mets,0.75,0.475,0.433,0.531,0.475,0.432,0.534,0.56,0.488,0.457,0.457,0.475
New York Yankees,0.546,0.564,0.552,0.632,0.611,0.56,0.519,0.534,0.519,0.525,0.573,0.593
Oakland Athletics,0.583,0.531,0.582,0.595,0.595,0.463,0.426,0.42,0.54,0.587,0.575,0.457
Philadelphia Phillies,0.333,0.506,0.467,0.5,0.494,0.407,0.438,0.389,0.451,0.451,0.5,0.623
Pittsburgh Pirates,0.455,0.377,0.317,0.426,0.509,0.463,0.482,0.601,0.54,0.577,0.488,0.444
San Diego Padres,0.615,0.488,0.591,0.432,0.407,0.438,0.42,0.457,0.475,0.469,0.469,0.438
Seattle Mariners,0.546,0.556,0.45,0.42,0.549,0.482,0.531,0.469,0.537,0.438,0.463,0.414
San Francisco Giants,0.636,0.653,0.483,0.475,0.451,0.395,0.533,0.519,0.559,0.469,0.59,0.531
St. Louis Cardinals,0.667,0.552,0.508,0.55,0.543,0.512,0.531,0.608,0.55,0.596,0.543,0.559
Tampa Bay Rays,0.5,0.608,0.638,0.589,0.556,0.494,0.42,0.494,0.475,0.56,0.556,0.554
Texas Rangers,0.2,0.37,0.367,0.482,0.414,0.482,0.576,0.539,0.414,0.558,0.571,0.596
Toronto Blue Jays,0.546,0.562,0.516,0.414,0.451,0.469,0.55,0.567,0.512,0.457,0.451,0.5
Washington Nationals,0.462,0.401,0.433,0.587,0.506,0.593,0.581,0.512,0.584,0.531,0.599,0.497
